"filename", "language", "JavaScript", "JavaScript JSX", "Less", "comment", "blank", "total"
"c:\Projetos\PokeVerse\poke-verse\src\pages\Battle\index.jsx", "JavaScript JSX", 0, -58, 0, 0, -3, -61
"c:\Projetos\PokeVerse\poke-verse\src\pages\Battle\styles.less", "Less", 0, 0, -112, 0, 0, -112
"c:\Projetos\PokeVerse\poke-verse\src\pages\Home\index.jsx", "JavaScript JSX", 0, -256, 0, -5, -8, -269
"c:\Projetos\PokeVerse\poke-verse\src\pages\Home\styles.less", "Less", 0, 0, -242, -5, -6, -253
"c:\Projetos\PokeVerse\poke-verse\src\pages\Inicial\index.jsx", "JavaScript JSX", 0, -19, 0, 0, -1, -20
"c:\Projetos\PokeVerse\poke-verse\src\pages\Inicial\styles.less", "Less", 0, 0, -27, 0, 0, -27
"c:\Projetos\PokeVerse\poke-verse\src\pages\Login\index.jsx", "JavaScript JSX", 0, -19, 0, 0, 0, -19
"c:\Projetos\PokeVerse\poke-verse\src\pages\Login\styles.less", "Less", 0, 0, -21, 0, -1, -22
"c:\Projetos\PokeVerse\poke-verse\src\pages\Lol\index.jsx", "JavaScript JSX", 0, -9, 0, 0, 0, -9
"c:\Projetos\PokeVerse\poke-verse\src\pages\Lol\styles.less", "Less", 0, 0, -10, 0, 0, -10
"c:\Projetos\PokeVerse\poke-verse\src\pages\Mapa\index.jsx", "JavaScript JSX", 0, -12, 0, 0, -1, -13
"c:\Projetos\PokeVerse\poke-verse\src\pages\Mapa\styles.less", "Less", 0, 0, -16, -2, 0, -18
"c:\Projetos\PokeVerse\poke-verse\src\pages\Primaria\index.jsx", "JavaScript JSX", 0, -28, 0, 0, -3, -31
"c:\Projetos\PokeVerse\poke-verse\src\pages\Primaria\styles.less", "Less", 0, 0, -32, 0, 0, -32
"c:\Projetos\PokeVerse\poke-verse\src\states\configStats.js", "JavaScript", 2, 0, 0, 1, 2, 5
"c:\Projetos\PokeVerse\poke-verse\src\states\pokeStoreState.js", "JavaScript", 5, 0, 0, 0, 2, 7
"Total", "-", 7, -401, -460, -11, -19, -884